root_symbol,root_symbol,exchange,name_x,name_y,multiplier,tick_size
O1,O1,NYMEX,ERCOT West 345 kV Hub 5 MW Off-Peak Futures,ERCOT West 345 kV Hub Off-Peak,5,0.01
OFM,OFM,NYMEX,Ontario Off-Peak Calendar-Month Futures,Ontario Off-Peak,5,0.01
OPM,OPM,NYMEX,Ontario Peak Calendar-Month Futures,,,
P5,P5,NYMEX,ISO New England South East Massachusetts Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,,,
P7,P7,NYMEX,ISO New England North East Massachusetts Zone 5 MW Peak Calendar-Month Day-Ahead LMP Futures,,,
P8,P8,NYMEX,ISO New England North East Massachusetts Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,ISO New England North East Massachusetts Zone Off-Peak Day-Ahead LMP,5,0.01
PA,PA,NYMEX,Palladium Futures,Palladium,100,0.1
PC,PC,NYMEX,PG&E Citygate Natural Gas (Platts IFERC) Basis Futures,Natural Gas-PG&E Citygate Basis,2500,0.01
PD,PD,NYMEX,NGPL TexOk Natural Gas (Platts IFERC) Basis Futures,NGPL TEX/OK Natural Gas Basis,1,0.01
PDM,PDM,NYMEX,MISO Indiana Hub Day-Ahead Peak Calendar-Month 5 MW Futures,,,
PF,PF,NYMEX,Ventura Natural Gas (Platts IFERC) Basis Futures,Ventura Natural Gas Basis,2500,0.01
PG,PG,NYMEX,Dominion South Point Natural Gas (Platts IFERC) Basis Futures,Dominion Basis,1,0.01
PH,PH,NYMEX,Panhandle Natural Gas (Platts IFERC) Basis Futures,Panhandle Natural Gas Basis,1,0.01
PL,PL,NYMEX,Platinum Futures,Platinum,50,0.01
PTM,PTM,NYMEX,MISO Indiana Hub Real-Time Peak Calendar-Month 5 MW Futures,,,
PZ,PZ,CME,Polish Zloty Futures,,,
Q5,Q5,NYMEX,NYISO Zone C 5 MW Peak Calendar-Month Day-Ahead LBMP Futures,,,
QG,QG,NYMEX,E-mini Natural Gas Futures,e-mini Henry Hub Natural Gas,2500,0.05
QL,QL,NYM,Coal Futures,,,
QM,QM,NYMEX,E-mini Crude Oil Futures,e-mini Crude Oil,500,0.25
QP,QP,NYMEX,Powder River Basin Coal (Platts OTC Broker Index) Futures,West PRB Coal Swap,1000,0.01
QX,QX,NYMEX,Eastern Rail Delivery CSX Coal Futures,East CSX Coal Swap,1000,0.01
R3,R3,NYMEX,PJM BGE Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,PJM BGE Zone Off-Peak Calendar-Month Day-Ahead LMP Swap,5,0.05
R6,R6,NYMEX,ISO New England West Central Massachusetts Zone 5 MW Peak Calendar-Month Day-Ahead LMP Futures,,,
