,amount,commission,dt,order_id,price,sid,symbol,txn_dollars
2010-01-25 21:00:00+00:00,-626,,2010-01-25 21:00:00+00:00,eb446351f9b94bc696a89a0456fb5b09,69.5,Future(8311 [LNG10]),Future(8311 [LNG10]),17402800.0
2010-01-25 21:00:00+00:00,1247,,2010-01-25 21:00:00+00:00,121b2b32c58a430994f9defe94881614,71.8,Future(8377 [LNJ10]),Future(8377 [LNJ10]),-35813840.0
2010-01-27 21:00:00+00:00,-367,,2010-01-27 21:00:00+00:00,f140b9db46bb484c8094358ed620be90,1798.75,Future(8351 [NQH10]),Future(8351 [NQH10]),13202825.0
2010-01-27 21:00:00+00:00,-419,,2010-01-27 21:00:00+00:00,a6ee9c33bcd5461fbded6ddad803e5cc,1087.5,Future(8353 [ESH10]),Future(8353 [ESH10]),22783125.0
2010-01-27 21:00:00+00:00,-375,,2010-01-27 21:00:00+00:00,d5c966a34a874b70aacb3f9d5b7803e7,716.0,Future(8355 [MDH10]),Future(8355 [MDH10]),26850000.0
2010-01-27 21:00:00+00:00,-249,,2010-01-27 21:00:00+00:00,2f393254cae14ac5ad65d4d9df68774f,427.6,Future(8362 [PAH10]),Future(8362 [PAH10]),10647240.0
2010-01-27 21:00:00+00:00,-139,,2010-01-27 21:00:00+00:00,ecaa2974c45b4484ad9d478759709b70,1537.0,Future(8381 [PLJ10]),Future(8381 [PLJ10]),10682150.0
2010-01-29 21:00:00+00:00,-94,,2010-01-29 21:00:00+00:00,1b7adb805e1746f09831f23e64860101,3.118,Future(8363 [HGH10]),Future(8363 [HGH10]),7327300.0
2010-02-01 21:00:00+00:00,4171,,2010-02-01 21:00:00+00:00,a21e24ca4b174d5fbbbd3d51f8d589be,109.007,Future(8369 [TUH10]),Future(8369 [TUH10]),-909336394.0000001
2010-02-01 21:00:00+00:00,-3003,,2010-02-01 21:00:00+00:00,70c8ef5220e9460eb52529f00247fd94,13.62,Future(8372 [DAH10]),Future(8372 [DAH10]),81801720.0
2010-02-02 21:00:00+00:00,-1247,,2010-02-02 21:00:00+00:00,7ced9785b943497f9c0996f5975210f6,66.15,Future(8377 [LNJ10]),Future(8377 [LNJ10]),32995620.0
2010-02-05 21:00:00+00:00,-341,,2010-02-05 21:00:00+00:00,17d1c465eaa840378ac6f15895280c06,1.568,Future(8340 [BPH10]),Future(8340 [BPH10]),33418000.0
2010-02-09 21:00:00+00:00,-124,,2010-02-09 21:00:00+00:00,ecab3d3d9f8f4bd2aa494a86b712e586,1.365,Future(8343 [ECH10]),Future(8343 [ECH10]),21157500.0
2010-02-11 21:00:00+00:00,3003,,2010-02-11 21:00:00+00:00,063b556f7b42443981e3cebf646ec04a,14.14,Future(8372 [DAH10]),Future(8372 [DAH10]),-84924840.0
2010-02-16 21:00:00+00:00,-18332,,2010-02-16 21:00:00+00:00,41c68c001a7a4247b1c8fa040d08e833,99.87,Future(8325 [FFG10]),Future(8325 [FFG10]),7629013772.280001
2010-02-17 21:00:00+00:00,27505,,2010-02-17 21:00:00+00:00,9515458232db46aa8524f429c8257774,99.865,Future(8373 [FFH10]),Future(8373 [FFH10]),-11445860699.775
2010-02-24 21:00:00+00:00,-332,,2010-02-24 21:00:00+00:00,43078eca2329486d91c446302e33bd84,508.0,Future(8393 [WK10]),Future(8393 [WK10]),8432800.0
2010-02-24 21:00:00+00:00,245,,2010-02-24 21:00:00+00:00,3d93d12543604c0bb9639b77c01863f2,493.5,Future(8332 [WH10]),Future(8332 [WH10]),-6045375.0
2010-02-24 21:00:00+00:00,-316,,2010-02-24 21:00:00+00:00,5939f480288444bb84f8e88a41eac12d,0.925,Future(8346 [SFH10]),Future(8346 [SFH10]),36537500.0
2010-02-25 21:00:00+00:00,443,,2010-02-25 21:00:00+00:00,82c9f3717b59461c895e59ba92c85404,371.5,Future(8334 [CH10]),Future(8334 [CH10]),-8228725.0
2010-02-25 21:00:00+00:00,-1467,,2010-02-25 21:00:00+00:00,08fab3768a34456fab8f0a6d694b4482,13.21,Future(8372 [DAH10]),Future(8372 [DAH10]),38758140.0
2010-02-26 21:00:00+00:00,-8422,,2010-02-26 21:00:00+00:00,775e81bc6b2c4ef692692f584dd19b45,99.737,Future(8330 [EDH10]),Future(8330 [EDH10]),2099962535.0
2010-02-26 21:00:00+00:00,12847,,2010-02-26 21:00:00+00:00,9a3154063b31480a9b5c8090557a6f9f,99.64,Future(8420 [EDM10]),Future(8420 [EDM10]),-3200187700.0
2010-02-26 21:00:00+00:00,-185,,2010-02-26 21:00:00+00:00,a9e560e5da1142cf8b7854f6e6eccbfd,4.8,Future(8364 [NGJ10]),Future(8364 [NGJ10]),8880000.0
2010-03-01 21:00:00+00:00,866,,2010-03-01 21:00:00+00:00,6666fa33f2a042b396d825226b59f913,118.843,Future(8358 [TYH10]),Future(8358 [TYH10]),-102918038.0
2010-03-01 21:00:00+00:00,807,,2010-03-01 21:00:00+00:00,8e5ccba36ed84840959f92a62f03d9dd,72.9,Future(8377 [LNJ10]),Future(8377 [LNJ10]),-23532120.0
2010-03-02 21:00:00+00:00,1293,,2010-03-02 21:00:00+00:00,dc09e48b263f4544af9001e64878485d,108.718,Future(8452 [TUM10]),Future(8452 [TUM10]),-281144748.0
2010-03-02 21:00:00+00:00,452,,2010-03-02 21:00:00+00:00,8a4216f842d54427a0ecb811eaa52757,11220.0,Future(8345 [JYH10]),Future(8345 [JYH10]),-63393000.0
2010-03-02 21:00:00+00:00,-866,,2010-03-02 21:00:00+00:00,5eda9839576741778e105b080abdcafb,118.843,Future(8358 [TYH10]),Future(8358 [TYH10]),102918038.0
2010-03-02 21:00:00+00:00,-4171,,2010-03-02 21:00:00+00:00,1c42342f3aec48308976af65f1878c68,109.203,Future(8369 [TUH10]),Future(8369 [TUH10]),910971426.0
2010-03-02 21:00:00+00:00,733,,2010-03-02 21:00:00+00:00,02107fcee27c4037b33884ae84455ec4,117.171,Future(8441 [TYM10]),Future(8441 [TYM10]),-85886343.00000001
2010-03-03 21:00:00+00:00,1559,,2010-03-03 21:00:00+00:00,1a2311a3aea94e3aadd8950011123b8d,115.937,Future(8450 [FVM10]),Future(8450 [FVM10]),-180745783.0
2010-03-03 21:00:00+00:00,174,,2010-03-03 21:00:00+00:00,c24c06f5a6534e439c259b707a3e84c7,758.0,Future(8355 [MDH10]),Future(8355 [MDH10]),-13189200.0
2010-03-04 21:00:00+00:00,608,,2010-03-04 21:00:00+00:00,3b91437cf7124f62936665fd37246fa0,78680.0,Future(8347 [MPH10]),Future(8347 [MPH10]),-23918720.0
2010-03-05 21:00:00+00:00,-244,,2010-03-05 21:00:00+00:00,c9d9cb382eef44cfaf8172ac55a145de,259.0,Future(8398 [SMK10]),Future(8398 [SMK10]),6319600.0
2010-03-08 21:00:00+00:00,-452,,2010-03-08 21:00:00+00:00,a8e7de7c330f463fbd1abd747e3f43e0,11071.0,Future(8345 [JYH10]),Future(8345 [JYH10]),62551150.0
2010-03-08 21:00:00+00:00,-1415,,2010-03-08 21:00:00+00:00,1c97673771c34060b254b23c1621a5bb,13.15,Future(8417 [DAK10]),Future(8417 [DAK10]),37214500.0
2010-03-08 21:00:00+00:00,1467,,2010-03-08 21:00:00+00:00,9e2c7473bd7d4614ab4520bb7938eff5,12.84,Future(8372 [DAH10]),Future(8372 [DAH10]),-37672560.0
2010-03-08 21:00:00+00:00,-27505,,2010-03-08 21:00:00+00:00,2d0ac4305b4c49f499fde17de2f49537,99.827,Future(8373 [FFH10]),Future(8373 [FFH10]),11441505393.044998
2010-03-08 21:00:00+00:00,198,,2010-03-08 21:00:00+00:00,f81b7c794def4aaf9192f91c183b978f,478.6,Future(8444 [PAM10]),Future(8444 [PAM10]),-9476280.0
2010-03-09 21:00:00+00:00,80,,2010-03-09 21:00:00+00:00,4d7e8e20f80c41d885c6b9c7bab12671,2.283,Future(8370 [RBJ10]),Future(8370 [RBJ10]),-7670879.999999999
2010-03-10 21:00:00+00:00,379,,2010-03-10 21:00:00+00:00,9610b3a225234c859dfd6225b17521c7,1901.5,Future(8351 [NQH10]),Future(8351 [NQH10]),-14413370.0
2010-03-10 21:00:00+00:00,-12847,,2010-03-10 21:00:00+00:00,d074d4ba12e54c3f9855bef530c3892c,99.635,Future(8420 [EDM10]),Future(8420 [EDM10]),3200027112.5
